,interpreter,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01
0,Ed Sheeran,32,27,32,29,26,32,26,25,35,34,31,33,34,31,35,32,28,34,30,35,38,37,39,39,44,39,39,39,41,41,40,41,41,21,38,43,40,46,41,50,53,49,49,47,49,42,42,39,37,37,36,35
1,Imagine Dragons,29,21,24,28,24,27,25,28,29,30,32,32,26,28,31,27,25,35,29,28,27,32,31,27,33,29,28,22,28,25,19,24,21,9,20,23,25,28,26,29,28,21,20,18,21,18,15,20,16,20,17,19
2,Ava Max,29,27,30,22,21,22,19,32,25,29,32,26,27,32,26,29,23,17,19,15,20,24,24,30,25,29,28,29,30,28,27,23,15,11,20,20,24,24,22,20,22,22,23,23,20,24,21,17,15,14,15,10
3,The Weeknd,28,26,28,26,27,30,28,29,29,19,26,19,19,19,21,21,22,27,31,28,32,26,23,28,32,30,32,26,23,20,15,13,15,6,14,14,18,15,14,11,5,5,6,5,2,4,6,4,3,7,5,2
4,Zoe Wees,25,25,26,12,12,10,12,10,12,7,3,3,6,4,6,12,11,9,9,7,11,12,11,7,10,12,9,5,3,6,4,4,4,4,7,11,12,15,9,10,11,8,11,15,11,10,8,11,9,8,9,8
5,Pizzera & Jaus,25,18,18,24,28,28,21,14,16,14,15,20,22,16,10,14,11,16,13,14,14,16,12,15,11,16,13,14,18,21,16,19,20,12,18,26,22,13,16,19,21,15,17,16,16,22,16,21,15,14,14,16
6,Jason Derulo feat. Nuka,23,19,18,22,18,19,16,19,18,20,24,18,22,20,18,8,2,1,1,1,2,2,1,5,7,8,6,6,9,6,3,9,6,3,6,9,5,9,8,7,5,11,11,7,4,6,9,4,5,5,4,7
7,Lady Gaga,23,19,22,22,19,20,22,15,23,18,20,22,18,26,21,20,13,14,13,17,18,16,13,15,14,9,11,15,14,11,11,10,9,7,14,19,17,18,19,18,20,16,18,18,18,17,19,17,20,15,15,17
8,Dua Lipa,22,24,23,20,20,21,18,29,26,30,25,24,26,23,22,23,26,24,19,33,32,34,26,25,24,24,20,24,24,23,27,26,19,13,24,26,27,20,25,19,7,10,8,9,8,8,7,5,7,7,7,7
9,"Nathan Evans, 220 Kid & Billen Ted",21,20,20,18,20,21,22,20,20,20,20,13,12,5,9,7,8,10,9,9,8,11,9,6,8,9,7,7,10,7,9,9,9,6,8,9,6,11,9,7,12,12,8,8,9,10,9,8,10,8,9,10
