track,interpreter,20210501,20210502,20210503,20210504,20210505,20210506,20210507,20210508,20210509,20210510,20210511,20210512,20210513,20210514,20210515,20210516,20210517,20210518,20210519,
"Listen Up","!Deladap & Yola B.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"Mood","24kGoldn feat. Iann Dior",2,1,1,3,1,1,1,1,2,1,2,1,0,2,1,1,1,2,0,
"Here Without You","3 Doors Down",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,
"What's Up?","4 Non Blondes",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"Youngblood","5 Seconds of Summer",1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,2,0,1,0,
"High Diving","A Day To Remember",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Almost Lover","A Fine Frenzy",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
"Say Something","A Great Big World feat. Christina Aguilera",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Can I Kick It ?","A Tribe Called Quest",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Money Money Money","ABBA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mamma Mia","ABBA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Waterloo","ABBA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
"Rock n Roll Train","AC/DC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"You Shook Me All Night Long (Live)","AC/DC",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Realize","AC/DC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Highway to Hell","AC/DC",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
"Thunderstruck","AC/DC",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
"You Shook Me All Night Long","AC/DC",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,
"Touch Too Much","AC/DC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
"Back in Black","AC/DC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"Your Love (9PM)","ATB feat. Topic & A7S",3,2,3,4,3,2,4,3,2,3,5,3,0,3,2,3,2,4,3,
"All 2 You","Adam Bü feat. Moodygee x Paenda",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Whataya Want from Me","Adam Lambert",0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,
"Lieder","Adel Tawil",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Hello","Adele",0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,
"Someone like You","Adele",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
"Water Under the Bridge","Adele",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
"Rolling in the Deep","Adele",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
"Set Fire to the Rain","Adele",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Rag Doll","Aerosmith",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Cryin'","Aerosmith",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
"Crazy","Aerosmith",0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,
"I Don't Want to Miss a Thing","Aerosmith",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
"Alone","Alan Walker",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Faded","Alan Walker",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,
"Guardian","Alanis Morissette",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Ironic","Alanis Morissette",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"Ironic (Live)","Alanis Morissette",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
"You Oughta Know","Alanis Morissette",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
"Black Velvet","Alannah Myles",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"Tonight","Alex Max Band",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,
"Poison","Alice Cooper",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
"Underdog","Alicia Keys",0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,
"Sono il Destino","Alle Achtung",1,1,1,1,2,1,2,0,1,1,0,1,0,3,2,1,1,0,1,
"Marie","Alle Achtung",0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,
"Bad Ideas","Alle Farben",1,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,
"Fading","Alle Farben & Ilira",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,
"I Need a Dollar","Aloe Blacc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Forever Young","Alphaville",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Magia","Alvaro Soler",2,0,1,1,1,2,1,3,2,2,3,1,2,2,3,2,4,2,3,
"La cintura","Alvaro Soler",0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,
"Sofia","Alvaro Soler",0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,
"El mismo sol","Alvaro Soler",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Believe in You","Amanda Marshall",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
"Best Day of My Life","American Authors",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
"This Is the Life","Amy MacDonald",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
"Run","Amy MacDonald",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Freaks","Amy Wald",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Mehr als nur ein Like","Amy Wald",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
"Rehab","Amy Winehouse",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"You Know I'm No Good","Amy Winehouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
"Paid My Dues","Anastacia",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
"Left Outside Alone","Anastacia",0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
"Sick and Tired","Anastacia",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Auf uns","Andreas Bourani",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
"Für immer jung","André Heller / Wolfgang Ambros",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Still Remember Yvonne","Andy Baum",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
"Slow Down","Andy Baum",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Only a Whisper","Andy Baum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
"Time Stands Still","Anna F.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Supergirl","Anna Naklab feat. Alle Farben & Younotus",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
"Down","Anna-Sophie",1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,
"Cambodia","Anna-Sophie",2,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,
"Let Me In","Anna-Sophie",1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1,1,0,2,
"2002","Anne-Marie",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
"This Is What It Feels Like","Armin van Buuren feat. Trevor Guthrie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
"Over Again","Aron Matthews feat. Môntan",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"One Day / Reckoning Song","Asaf Avidan",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Heat of the Moment","Asia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I Will Love You Monday (365)","Aura Dione",0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,
"Friends","Aura Dione / Rock Mafia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
"Hoamweh nach B.A.","Ausseer Hardbradler",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Tanz'n tat i gern","Ausseer Hardbradler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
"Vü schöner is des G'fühl (Live)","Austria 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
